issue,title,auditBucket,suggestedOwnerArea,reviewScope,implementationState,matchCount,matchedFiles,searchTerms,suggestedNextStep,issueUrl
AV-EFI/AVefi-Issues#214,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich Seiten zur Projektvorstellung und die Landing Page redaktionell bearbeiten können  (User Story ID 10),domain_logic_needed,Product/domain decision,false,blocked_external,0,,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; projektvorstellung; landing; index.vue; home; redaktionell; edit; editor; bearbeiten; page,Keep in owner-area review before frontend code verification.,https://github.com/AV-EFI/AVefi-Issues/issues/214
AV-EFI/AVefi-Issues#58,Redaktionelle Bearbeitung von Datensätzen,domain_logic_needed,Product/domain decision,false,blocked_external,0,,redaktionelle; bearbeitung; datensatzen,Keep in owner-area review before frontend code verification.,https://github.com/AV-EFI/AVefi-Issues/issues/58
AV-EFI/AVefi-Issues#60,Datenherkunft / Herausgeber anzeigen,domain_logic_needed,Product/domain decision,false,blocked_external,0,,datenherkunft; herausgeber,Keep in owner-area review before frontend code verification.,https://github.com/AV-EFI/AVefi-Issues/issues/60
AV-EFI/AVefi-Issues#61,Ähnliche Datensätze / Empfehlungssystem,domain_logic_needed,Product/domain decision,false,blocked_external,0,,ahnliche; datensatze; empfehlungssystem,Keep in owner-area review before frontend code verification.,https://github.com/AV-EFI/AVefi-Issues/issues/61
AV-EFI/AVefi-Issues#62,Tektonik der Manifestationen anzeigen,domain_logic_needed,Product/domain decision,false,blocked_external,0,,tektonik; manifestationen,Keep in owner-area review before frontend code verification.,https://github.com/AV-EFI/AVefi-Issues/issues/62
AV-EFI/AVefi-Issues#63,Filmrecherche – gezielte Suche (EPIC),domain_logic_needed,Product/domain decision,false,blocked_external,0,,gezielte; suche; search; epic,Keep in owner-area review before frontend code verification.,https://github.com/AV-EFI/AVefi-Issues/issues/63
AV-EFI/AVefi-Issues#185,ACCESS-01: Seite zur Erklärung Barrierefreiheit,implemented_candidate,Accessibility/QA,true,implemented_but_untested,20,.\components\global\Footer.vue; .\components\search\QueryAutocompleteCore.vue; .\composables\useMatomoTracking.ts; .\i18n\locales\de.ts; .\i18n\locales\en.ts; .\nuxt.config.ts; .\pages\accessibility.vue; .\pages\index.vue,access-01; erklarung; barrierefreiheit; accessibility; a11y,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/185
AV-EFI/AVefi-Issues#110,LG-03: Sprachabhängige Sortierung und Fuzzy-Suche,implemented_candidate,Frontend/UI,true,implemented_but_untested,1,.\i18n\locales\de.ts,lg-03; sprachabhangige; sortierung; fuzzy-suche,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/110
AV-EFI/AVefi-Issues#211,Allgemein: Als Benutzer*in möchte ich allgemeine und rechtliche Informationen über die Seite und das Projekt einsehen können (User Story ID 45),implemented_candidate,Frontend/UI,true,implemented_but_untested,7,.\i18n\locales\de.ts,allgemein; allgemeine; rechtliche; informationen; einsehen; uber,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/211
AV-EFI/AVefi-Issues#213,Filmrecherche: Als Benutzer*in möchte ich semantische Verknüpfungen / Beziehungen zwischen den Datensätzen visuell angezeigt bekommen  (User Story ID 42),implemented_candidate,Backend/API/indexing,true,implemented_but_untested,20,.\app.vue; .\i18n\locales\de.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml,semantische; verknupfungen; beziehungen; zwischen; datensatzen; visuell; angezeigt; bekommen,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/213
AV-EFI/AVefi-Issues#212,"Performance: Als Benutzer*in erwarte ich, dass die Anwendung schnelle und reaktionsschnelle Suchergebnisse liefert, auch bei großen Datenmengen  (User Story ID 32)",implemented_candidate,Backend/API/indexing,true,implemented_but_untested,20,.\i18n\locales\de.ts; .\MATOMO_SETUP.md; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml; .\plugins\deferStyles.client.ts; .\RELEASE_NOTES.md; .\server\api\poc\chat.post.ts; .\server\api\poc\facets\agents.post.ts; .\server\api\poc\works\by-handle.get.ts; .\server\api\poc\works\search.post.ts,performance; erwarte; anwendung; schnelle; reaktionsschnelle; suchergebnisse; liefert; gro en; datenmengen,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/212
AV-EFI/AVefi-Issues#33,Filmrecherche: Als Benutzer*in möchte ich Medien (Filme) zitieren können  (User Story ID 6),implemented_candidate,Product/domain decision,true,implemented_but_untested,20,.\components\detail\KeyValueComp.vue; .\components\detail\KeyValueListComp.vue; .\components\detail\SameAsComp.vue; .\components\global\ClipboardComp.vue; .\components\global\JsonTreeViewer.vue; .\components\global\SendValueComp.vue; .\components\global\VocabViewer.vue; .\components\micro\EfiCopyComp.vue; .\components\poster\AvefiPosterComp.vue; .\components\search\InstantSearchTemplateAVefi.vue; .\components\search\ManifestationListSplitView.vue,zitieren; citation; clipboard,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/33
AV-EFI/AVefi-Issues#159,SEO-03: Technische Umsetzung SEO,implemented_candidate,Product/domain decision,true,implemented_but_untested,4,.\components\global\PartnersCarouselComp.vue; .\i18n\locales\de.ts,seo-03; technische; umsetzung,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/159
AV-EFI/AVefi-Issues#222,"Filmrecherche: Als Benutzer*in möchte ich meine Suchpräferenzen anpassen können (z. B. Sortieroptionen, Standardfilter)  (User Story ID 28)",implemented_candidate,Frontend/UI,true,implemented_but_untested,4,.\components\detail\MergeToolListComp.vue; .\i18n\locales\de.ts,meine; suchpraferenzen; anpassen; sortieroptionen; standardfilter,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/222
AV-EFI/AVefi-Issues#35,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich Datensätze redaktionell bearbeiten  (User Story ID 4),implemented_candidate,Product/domain decision,true,implemented_but_untested,20,.\components\detail\FavouritesListComp.vue; .\components\global\CompareViewEditor.vue; .\components\global\CompareViewEditorStretched.vue; .\components\global\CompareViewProps.vue; .\components\global\CompareViewRaw.vue; .\components\global\ExportDataComp.vue; .\components\global\SwitchGenericComp.vue; .\components\search\GenericIconList.vue; .\components\search\HighlightListComp.vue,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; datensatze; redaktionell; edit; editor; bearbeiten; filmidentifikatorenansicht redaktionssystem,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/35
AV-EFI/AVefi-Issues#36,"Filmrecherche: Als eine nicht-deutsche Benutzer*in möchte ich ""Multi-Language"" Support  (User Story ID 21)",implemented_candidate,Unassigned triage,true,implemented_but_untested,20,.\app.vue; .\assets\scss\main.scss; .\components\global\ReusableCarousel.vue; .\components\home\HomeVideoSection.vue; .\components\poster\AvefiPosterComp.vue; .\composables\useSearchFacetToggle.ts; .\i18n\locales\de.ts; .\i18n\locales\en.ts; .\models\interfaces\schema\avefi_schema_type_utils.ts; .\models\interfaces\schema\avefi_schema.ts,nicht-deutsche; multi-language; support,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/36
AV-EFI/AVefi-Issues#37,"Filmrecherche: Als Benutzer*in möchte ich sehen, welche Daten-Quellen bzw. Herausgeber Daten bei AVefi bereitstellen  (User Story ID 43)",implemented_candidate,Backend/API/indexing,true,implemented_but_untested,5,.\i18n\locales\de.ts; .\models\interfaces\detail-layout-map.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml; .\server\assets\vocab\locale_messages.json,daten-quellen; herausgeber; bereitstellen,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/37
AV-EFI/AVefi-Issues#38,Filmrecherche: Als Benutzer*in möchte ich Suchverläufe speichern und wieder aufrufen können  (User Story ID 47),implemented_candidate,Frontend/UI,true,implemented_but_untested,6,.\i18n\locales\de.ts; .\server\data\autocomplete_fallbacks.json,suchverlaufe; speichern; wieder; aufrufen,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/38
AV-EFI/AVefi-Issues#39,Filmrecherche: Als Benutzer*in möchte ich Querverbindungen und Verweise direkt einsehen und nutzen können  (User Story ID 23),implemented_candidate,Unassigned triage,true,implemented_but_untested,11,.\i18n\locales\de.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml; .\server\assets\vocab\locale_messages.json,querverbindungen; verweise; direkt; einsehen; nutzen,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/39
AV-EFI/AVefi-Issues#40,Filmanzeige: Als Benutzer*in möchte ich möglichst schnell zum Quell-Datensatz gelangen (User Story ID 20),implemented_candidate,Backend/API/indexing,true,not_found,0,,moglichst; schnell; quell-datensatz; gelangen,Review manually; no local frontend evidence found from generated search terms.,https://github.com/AV-EFI/AVefi-Issues/issues/40
AV-EFI/AVefi-Issues#41,Filmrecherche: Als Benutzer*in möchte ich zwei oder mehrere Datensätze (Werk-Manifestation-Item) auf ihre Ähnlichkeit prüfen (User Story ID 1),implemented_candidate,Product/domain decision,true,implemented_but_untested,20,.\i18n\locales\de.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml; .\nuxt.config.ts; .\pages\index.vue,mehrere; datensatze; werk-manifestation-item; ahnlichkeit; prufen; zwei; ihre,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/41
AV-EFI/AVefi-Issues#42,Filmrecherche: Als Benutzer*in möchte ich einen Überblick über die Tektonik der Manifestationen zu einem Werk sehen  (User Story ID 50),implemented_candidate,Product/domain decision,true,implemented_but_untested,20,.\app.vue; .\components\poc\GraphView.vue; .\components\views\ManifestationViewCompAVefi.vue; .\components\views\NormDataSearchOverview.vue; .\i18n\locales\de.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\model.yaml; .\models\interfaces\schema\vocab.yaml; .\nuxt.config.ts; .\pages\filmrel\[prefix]\[id].vue; .\pages\res\[prefix]\[id].vue,uberblick; tektonik; manifestationen; uber; werk,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/42
AV-EFI/AVefi-Issues#43,PID-Verwaltung: Als MA einer filmhaltenden Institution möchte ich eine PID für einen Film-Metadatensatz abfragen  (User Story ID 13),implemented_candidate,Product/domain decision,true,implemented_but_untested,2,.\i18n\locales\de.ts,pid-verwaltung; filmhaltenden; film-metadatensatz; abfragen; verwaltung; pid verwaltung,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/43
AV-EFI/AVefi-Issues#44,"Filmrecherche: Als Benutzer*in möchte ich schnell einsehen können, von welcher Institution/welchen Institutionen ein Metadatensatz stammt (User Story ID 41)",implemented_candidate,Backend/API/indexing,true,implemented_but_untested,5,.\i18n\locales\de.ts,schnell; einsehen; welcher; welchen; institutionen; metadatensatz; stammt,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/44
AV-EFI/AVefi-Issues#45,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich Duplikate von Filmen ausfindig machen können  (User Story ID 25),implemented_candidate,Product/domain decision,true,implemented_but_untested,7,.\i18n\locales\de.ts; .\scripts\github-project-classify.mjs,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; duplikate; filmen; ausfindig; machen; filmidentifikatorenansicht redaktionssystem,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/45
AV-EFI/AVefi-Issues#46,PID-Verwaltung: Als MA einer filmhaltenden Institution möchte ich eine PID für einen Film-Metadatensatz erstellen (registrieren)  (User Story ID 12),domain_logic_needed,Product/domain decision,false,blocked_external,0,,pid-verwaltung; filmhaltenden; film-metadatensatz; erstellen; registrieren; verwaltung; pid verwaltung,Keep in owner-area review before frontend code verification.,https://github.com/AV-EFI/AVefi-Issues/issues/46
AV-EFI/AVefi-Issues#210,Filmanzeige: Als Benutzer*in möchte ich Datensätze mit allen relevanten Informationen einsehen können  (User Story ID 5),implemented_candidate,Backend/API/indexing,true,implemented_but_untested,14,.\components\poster\AvefiPosterComp.vue; .\i18n\locales\de.ts; .\layouts\default.vue; .\models\formkit-schemas\fk_work.json; .\pages\poster\avefi.vue; .\pages\poster\greynet-avefi.vue; .\RELEASE_NOTES.md,datensatze; allen; relevanten; informationen; einsehen,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/210
AV-EFI/AVefi-Issues#209,Filmanzeige: Als Benutzer*in möchte ich zwischen einer Kurz- und einer Detailansicht eines Datensatzes wechseln können  (User Story ID 9),implemented_candidate,Backend/API/indexing,true,implemented_but_untested,20,.\components\detail\MergeToolListComp.vue; .\i18n\locales\de.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml; .\pages\compare.vue; .\RELEASE_NOTES.md; .\scripts\github-project-classify.mjs; .\server\assets\vocab\locale_messages.json,zwischen; kurz-; detailansicht; datensatzes; wechseln; userstory; technical-blocker; eines,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/209
