issueNumber,repository,title,state,projectStatus,auditBucket,auditConfidence,suggestedOwnerArea,needsHumanReview,labels,assignees,milestone,suggestedAction,auditReason,codeSearchTerms,issueUrl
214,AV-EFI/AVefi-Issues,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich Seiten zur Projektvorstellung und die Landing Page redaktionell bearbeiten können  (User Story ID 10),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; seiten; projektvorstellung; landing; redaktionell; bearbeiten; können,https://github.com/AV-EFI/AVefi-Issues/issues/214
58,AV-EFI/AVefi-Issues,Redaktionelle Bearbeitung von Datensätzen,OPEN,Temporary TODO List,domain_logic_needed,medium,Product/domain decision,true,SHOULDHAVE,steffolino,Public Release,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected.,redaktionelle; bearbeitung; datensätzen; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/58
60,AV-EFI/AVefi-Issues,Datenherkunft / Herausgeber anzeigen,OPEN,Temporary TODO List,domain_logic_needed,medium,Product/domain decision,true,,tennismann3000; C-Stemmler,Public Release,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing labels.,datenherkunft; herausgeber; anzeigen,https://github.com/AV-EFI/AVefi-Issues/issues/60
61,AV-EFI/AVefi-Issues,Ähnliche Datensätze / Empfehlungssystem,OPEN,Temporary TODO List,domain_logic_needed,medium,Product/domain decision,true,Filmrecherche,steffolino,Public Release,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected.,ähnliche; datensätze; empfehlungssystem; filmrecherche,https://github.com/AV-EFI/AVefi-Issues/issues/61
62,AV-EFI/AVefi-Issues,Tektonik der Manifestationen anzeigen,OPEN,Temporary TODO List,domain_logic_needed,medium,Product/domain decision,true,SHOULDHAVE; Filmrecherche,steffolino,Public Release,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected.,tektonik; manifestationen; anzeigen; shouldhave; filmrecherche,https://github.com/AV-EFI/AVefi-Issues/issues/62
63,AV-EFI/AVefi-Issues,Filmrecherche – gezielte Suche (EPIC),OPEN,Temporary TODO List,domain_logic_needed,medium,Product/domain decision,true,Filmrecherche,steffolino,Public Release,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected.,filmrecherche; gezielte; suche,https://github.com/AV-EFI/AVefi-Issues/issues/63
185,AV-EFI/AVefi-Issues,ACCESS-01: Seite zur Erklärung Barrierefreiheit,CLOSED,Done,implemented_candidate,medium,Accessibility/QA,true,,JStratil,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,access-01; seite; erklärung; barrierefreiheit,https://github.com/AV-EFI/AVefi-Issues/issues/185
110,AV-EFI/AVefi-Issues,LG-03: Sprachabhängige Sortierung und Fuzzy-Suche,CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,MUSTHAVE,steffolino; EOltmanns,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,lg-03; sprachabhängige; sortierung; fuzzy-suche; musthave,https://github.com/AV-EFI/AVefi-Issues/issues/110
211,AV-EFI/AVefi-Issues,Allgemein: Als Benutzer*in möchte ich allgemeine und rechtliche Informationen über die Seite und das Projekt einsehen können (User Story ID 45),CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,allgemein; benutzer; allgemeine; rechtliche; informationen; seite; projekt; einsehen; können,https://github.com/AV-EFI/AVefi-Issues/issues/211
213,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich semantische Verknüpfungen / Beziehungen zwischen den Datensätzen visuell angezeigt bekommen  (User Story ID 42),CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,filmrecherche; benutzer; semantische; verknüpfungen; beziehungen; zwischen; datensätzen; visuell; angezeigt; bekommen,https://github.com/AV-EFI/AVefi-Issues/issues/213
212,AV-EFI/AVefi-Issues,"Performance: Als Benutzer*in erwarte ich, dass die Anwendung schnelle und reaktionsschnelle Suchergebnisse liefert, auch bei großen Datenmengen  (User Story ID 32)",CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,performance; benutzer; erwarte; anwendung; schnelle; reaktionsschnelle; suchergebnisse; liefert; großen; datenmengen,https://github.com/AV-EFI/AVefi-Issues/issues/212
33,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich Medien (Filme) zitieren können  (User Story ID 6),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,WONTHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; medien; filme; zitieren; können; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/33
159,AV-EFI/AVefi-Issues,SEO-03: Technische Umsetzung SEO,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,SEO,steffolino,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,seo-03; technische; umsetzung,https://github.com/AV-EFI/AVefi-Issues/issues/159
222,AV-EFI/AVefi-Issues,"Filmrecherche: Als Benutzer*in möchte ich meine Suchpräferenzen anpassen können (z. B. Sortieroptionen, Standardfilter)  (User Story ID 28)",CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,filmrecherche; benutzer; meine; suchpräferenzen; anpassen; können; sortieroptionen; standardfilter,https://github.com/AV-EFI/AVefi-Issues/issues/222
35,AV-EFI/AVefi-Issues,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich Datensätze redaktionell bearbeiten  (User Story ID 4),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,COULDHAVE; Filmidentifikatorenansicht & Redaktionssystem,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; datensätze; redaktionell; bearbeiten; couldhave,https://github.com/AV-EFI/AVefi-Issues/issues/35
36,AV-EFI/AVefi-Issues,"Filmrecherche: Als eine nicht-deutsche Benutzer*in möchte ich ""Multi-Language"" Support  (User Story ID 21)",CLOSED,Done,implemented_candidate,medium,Unassigned triage,true,COULDHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; nicht-deutsche; benutzer; multi-language; support; couldhave,https://github.com/AV-EFI/AVefi-Issues/issues/36
37,AV-EFI/AVefi-Issues,"Filmrecherche: Als Benutzer*in möchte ich sehen, welche Daten-Quellen bzw. Herausgeber Daten bei AVefi bereitstellen  (User Story ID 43)",CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,SHOULDHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; sehen; welche; daten-quellen; herausgeber; daten; avefi; bereitstellen; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/37
38,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich Suchverläufe speichern und wieder aufrufen können  (User Story ID 47),CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,WONTHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; suchverläufe; speichern; wieder; aufrufen; können; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/38
39,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich Querverbindungen und Verweise direkt einsehen und nutzen können  (User Story ID 23),CLOSED,Done,implemented_candidate,medium,Unassigned triage,true,SHOULDHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; querverbindungen; verweise; direkt; einsehen; nutzen; können; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/39
40,AV-EFI/AVefi-Issues,Filmanzeige: Als Benutzer*in möchte ich möglichst schnell zum Quell-Datensatz gelangen (User Story ID 20),CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,SHOULDHAVE; Filmanzeige,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmanzeige; benutzer; möglichst; schnell; quell-datensatz; gelangen; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/40
41,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich zwei oder mehrere Datensätze (Werk-Manifestation-Item) auf ihre Ähnlichkeit prüfen (User Story ID 1),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,SHOULDHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; mehrere; datensätze; werk-manifestation-item; ähnlichkeit; prüfen; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/41
42,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich einen Überblick über die Tektonik der Manifestationen zu einem Werk sehen  (User Story ID 50),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,SHOULDHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; überblick; tektonik; manifestationen; sehen; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/42
